domain_name,country,product_line,value_type,value
maersk.com,Denmark,DAP - CLM,initiatives,Enhancing technology procurement process and contract management
maersk.com,Denmark,DAP - CLM,initiatives,Improving cost efficiency and spend management in IT procurement
maersk.com,Denmark,DAP - CLM,initiatives,Streamlining supplier engagement and negotiation processes
maersk.com,Denmark,DAP - CLM,initiatives,Enhancing stakeholder management and communication in IT procurement
maersk.com,Guatemala,DAP - CLM,initiatives,Enhancing supply chain efficiency and agility
maersk.com,Guatemala,DAP - CLM,initiatives,Improving procurement process and compliance
maersk.com,Guatemala,DAP - CLM,initiatives,Optimizing inventory management and delivery times
maersk.com,Guatemala,DAP - CLM,initiatives,Driving cost savings and P&L improvement
maersk.com,Guatemala,DAP - CLM,initiatives,Enabling collaboration with Asset Maintenance for supply chain optimization
maersk.com,Guatemala,DAP - CLM,initiatives,Consolidating spend across regions for efficient leverage
maersk.com,Guatemala,DAP - CLM,initiatives,Supporting APMT CAPEX initiatives for competitiveness and timely delivery
maersk.com,Guatemala,DAP - CLM,initiatives,Leading continued transformation and growth opportunities
maersk.com,China,DAP - CLM,initiatives,Standardize and optimize Depot and EMR Procurement processes
maersk.com,China,DAP - CLM,initiatives,Enhance cost ownership and drive cost leadership
maersk.com,China,DAP - CLM,initiatives,Support operations to solve disruption and gain efficiency from execution of the contracts
maersk.com,China,DAP - CLM,initiatives,Develop and roll out and optimize effective business and engagement model to support customer centricity
maersk.com,China,DAP - CLM,initiatives,Support Procurement projects for areas and countries where needed
maersk.com,India,DAP - CLM,initiatives,Efficient handling of multi-regional customer Requests for Quote (RFQ)
maersk.com,India,DAP - CLM,initiatives,Streamlining product strategy and pricing processes
maersk.com,India,DAP - CLM,initiatives,Driving annual top-line and volume growth for the product
maersk.com,India,DAP - CLM,initiatives,Collaborating with sales enablement team and product BPO for updated sales material
maersk.com,India,DAP - CLM,initiatives,Enhancing customer experience and engagement
maersk.com,Denmark,DAP - CLM,team,Maersk IT/Tech Procurement team
maersk.com,Guatemala,DAP - CLM,team,Procurement team
maersk.com,Guatemala,DAP - CLM,team,Asset Maintenance team
maersk.com,China,DAP - CLM,team,Asia Pacific Ocean Procurement team
maersk.com,India,DAP - CLM,team,Regional Head of Growth and Solutions
maersk.com,India,DAP - CLM,team,CHB Procurement Manager
